time	V(vout)
Step Information: X=100n Y=1K  (Run: 1/6)
2.882080000000011e-003	2.209187e-002
2.893798750000012e-003	1.964875e-002
2.905517500000012e-003	1.747581e-002
2.917236250000013e-003	1.554318e-002
2.928955000000013e-003	1.382427e-002
2.940673750000014e-003	1.229546e-002
2.952392500000014e-003	1.093572e-002
2.964111250000014e-003	9.726347e-003
2.978759687500015e-003	8.400939e-003
2.993408125000016e-003	7.256146e-003
2.999494374999564e-003	6.826232e-003
3.000000000000000e-003	6.791779e-003
Step Information: X=470n Y=1K  (Run: 2/6)
0.000000000000000e+000	0.000000e+000
1.200000099288445e-007	1.914632e-005
2.400000198576890e-007	7.657481e-005
5.199999602846219e-007	2.892477e-004
5.999998014231095e-007	3.896086e-004
7.599994837000847e-007	6.345193e-004
1.000000000000000e-006	1.063063e-003
6.977694057008924e-006	1.367803e-002
1.576675655700892e-005	3.195105e-002
3.041519405700892e-005	6.165690e-002
4.799331905700894e-005	9.610313e-002
7.143081905700896e-005	1.400725e-001
1.007276940570090e-004	1.920387e-001
1.358839440570090e-004	2.502699e-001
1.768995690570090e-004	3.129234e-001
2.237745690570091e-004	3.781422e-001
2.794386315570091e-004	4.475976e-001
3.438917565570092e-004	5.183864e-001
4.083448815570092e-004	5.801039e-001
4.727980065570093e-004	6.339124e-001
5.010000000000000e-004	6.552366e-001
5.016507812500000e-004	6.551851e-001
5.020000000000001e-004	6.548971e-001
5.679585156250010e-004	5.691535e-001
6.324116406250010e-004	4.962180e-001
6.968647656250011e-004	4.326290e-001
7.613178906250011e-004	3.771888e-001
8.257710156250012e-004	3.288531e-001
8.902241406250012e-004	2.867115e-001
9.546772656250013e-004	2.499702e-001
1.000000000000000e-003	2.269887e-001
1.000235406250011e-003	2.269667e-001
1.001000000000000e-003	2.275758e-001
1.038950690624660e-003	2.874877e-001
1.082896003124658e-003	3.510886e-001
1.135630378124656e-003	4.199612e-001
1.194224128124654e-003	4.879476e-001
1.258677253124652e-003	5.535657e-001
1.323130378124650e-003	6.107750e-001
1.387583503124647e-003	6.606531e-001
1.452036628124645e-003	7.041395e-001
1.501000000000000e-003	7.334130e-001
1.501278906250000e-003	7.334424e-001
1.502000000000000e-003	7.329074e-001
1.567958515624988e-003	6.369501e-001
1.632411640624985e-003	5.553267e-001
1.696864765624983e-003	4.841631e-001
1.761317890624981e-003	4.221189e-001
1.825771015624978e-003	3.680255e-001
1.890224140624976e-003	3.208641e-001
1.954677265624974e-003	2.797462e-001
2.000000000000000e-003	2.540272e-001
2.000235406249446e-003	2.539917e-001
2.001000000000000e-003	2.545569e-001
2.041880378141442e-003	3.166489e-001
2.088755378141444e-003	3.815141e-001
2.144419440641446e-003	4.505928e-001
2.208872565641448e-003	5.209979e-001
2.273325690641451e-003	5.823807e-001
2.337778815641453e-003	6.358975e-001
2.402231940641456e-003	6.825562e-001
2.466685065641458e-003	7.232358e-001
2.501000000000000e-003	7.427250e-001
2.501278906250000e-003	7.427489e-001
2.502000000000000e-003	7.421996e-001
2.567958515625003e-003	6.450257e-001
2.632411640625006e-003	5.623674e-001
2.696864765625008e-003	4.903016e-001
2.737880390625010e-003	4.493280e-001
2.802333515625012e-003	3.917478e-001
2.866786640625015e-003	3.415464e-001
2.931239765625017e-003	2.977782e-001
2.997594843750117e-003	2.585678e-001
2.999215312498521e-003	2.576779e-001
3.000000000000000e-003	2.572479e-001
Step Information: X=680n Y=1K  (Run: 3/6)
0.000000000000000e+000	0.000000e+000
1.200000099288445e-007	1.323405e-005
2.400000198576890e-007	5.293118e-005
5.199999602846219e-007	1.999455e-004
7.599994837000847e-007	4.386445e-004
1.000000000000000e-006	7.349277e-004
9.907381557008925e-006	1.373447e-002
2.455581905700892e-005	3.475326e-002
4.506363155700893e-005	6.342915e-002
7.436050655700896e-005	1.029232e-001
1.095167565570090e-004	1.481240e-001
1.534620690570090e-004	2.014357e-001
2.061964440570091e-004	2.610245e-001
2.677198815570091e-004	3.249485e-001
3.380323815570092e-004	3.912619e-001
4.200636315570093e-004	4.604401e-001
5.010000000000000e-004	5.209884e-001
5.020000000000001e-004	5.209510e-001
5.972553906250010e-004	4.528582e-001
6.910053906250011e-004	3.945363e-001
7.847553906250011e-004	3.437255e-001
8.785053906250012e-004	2.994584e-001
9.722553906250013e-004	2.608923e-001
1.000000000000000e-003	2.504607e-001
1.000235406250011e-003	2.504374e-001
1.001000000000000e-003	2.508321e-001
1.059458503124659e-003	3.125430e-001
1.129771003124657e-003	3.800751e-001
1.208872565624654e-003	4.481522e-001
1.299692878124650e-003	5.171467e-001
1.393442878124647e-003	5.793315e-001
1.487192878124644e-003	6.335078e-001
1.501000000000000e-003	6.408759e-001
1.502000000000000e-003	6.406624e-001
1.597255390624987e-003	5.569222e-001
1.691005390624983e-003	4.851983e-001
1.784755390624980e-003	4.227115e-001
1.878505390624977e-003	3.682721e-001
1.972255390624975e-003	3.208437e-001
2.000000000000000e-003	3.080150e-001
2.001000000000000e-003	3.083018e-001
2.068247565641443e-003	3.734299e-001
2.147349128141446e-003	4.422367e-001
2.238169440641450e-003	5.119708e-001
2.331919440641453e-003	5.748222e-001
2.425669440641457e-003	6.295792e-001
2.501000000000000e-003	6.684248e-001
2.502000000000000e-003	6.681709e-001
2.597255390625004e-003	5.808351e-001
2.691005390625008e-003	5.060315e-001
2.737880390625010e-003	4.723240e-001
2.831630390625013e-003	4.114951e-001
2.925380390625017e-003	3.585003e-001
2.999215312498521e-003	3.216114e-001
3.000000000000000e-003	3.212404e-001
Step Information: X=100n Y=10K  (Run: 4/6)
0.000000000000000e+000	0.000000e+000
2.400000198576890e-007	3.599538e-005
5.199999602846219e-007	1.359748e-004
7.599994837000847e-007	2.983171e-004
1.000000000000000e-006	4.998305e-004
1.576675655700892e-005	1.514866e-002
3.920425655700893e-005	3.796273e-002
7.143081905700896e-005	6.847167e-002
1.153761315570090e-004	1.085216e-001
1.710401940570090e-004	1.567891e-001
2.384230065570091e-004	2.117350e-001
3.175245690570092e-004	2.716857e-001
4.112745690570092e-004	3.368623e-001
5.010000000000000e-004	3.937727e-001
5.020000000000001e-004	3.938745e-001
6.441303906250010e-004	3.416900e-001
7.847553906250011e-004	2.968654e-001
9.253803906250013e-004	2.579211e-001
1.000000000000000e-003	2.393751e-001
1.000235406250011e-003	2.393619e-001
1.001000000000000e-003	2.396388e-001
1.085825690624658e-003	3.014757e-001
1.185435065624655e-003	3.677022e-001
1.299692878124650e-003	4.359727e-001
1.431528815624646e-003	5.056387e-001
